pump_id,building_id,tank_id,timestamp,status,current_amps,vibration_mm_s,temperature_celsius,flow_rate_lpm,pressure_psi
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 00:00:00,running,12.65,2.65,49.7,202.8,44.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 00:30:00,running,12.77,2.43,53.2,173.0,46.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 01:00:00,running,12.24,2.36,49.1,151.3,39.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 01:30:00,running,12.31,2.33,48.0,166.4,40.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 02:00:00,running,12.07,2.94,49.5,158.6,43.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 02:30:00,running,12.38,2.53,47.7,171.0,44.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 03:00:00,running,11.99,2.32,53.7,164.1,47.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 03:30:00,running,10.04,2.13,50.4,160.1,45.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 04:00:00,running,11.88,2.72,50.3,175.5,40.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 04:30:00,running,13.06,2.28,49.1,185.2,39.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 05:00:00,running,11.32,2.6,49.2,189.2,48.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 05:30:00,running,11.69,2.78,48.3,185.0,47.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 06:00:00,running,10.89,2.36,49.6,162.1,47.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 06:30:00,running,13.0,2.91,49.9,185.4,43.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 07:00:00,running,11.96,2.61,53.1,203.5,37.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 07:30:00,running,11.7,2.75,50.2,181.4,39.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 08:00:00,running,13.48,2.43,50.7,172.2,42.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 08:30:00,running,12.33,2.35,51.8,172.1,46.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 09:00:00,running,11.3,2.53,51.9,175.1,43.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 09:30:00,running,12.26,2.06,50.6,180.1,44.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 10:00:00,running,11.66,2.08,49.2,168.0,44.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 10:30:00,running,12.17,2.62,53.8,183.9,44.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 11:00:00,running,12.06,1.92,49.9,216.9,44.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 11:30:00,running,10.83,2.59,49.9,197.1,47.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 12:00:00,running,13.4,2.74,48.2,159.0,46.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 12:30:00,running,11.43,3.16,48.0,181.5,43.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 13:00:00,running,10.94,2.03,50.1,187.1,42.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 13:30:00,running,11.68,2.96,48.4,192.2,41.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 14:00:00,running,10.39,2.57,52.6,182.8,45.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 14:30:00,running,10.68,2.73,47.5,187.8,45.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 15:00:00,running,11.32,2.58,50.7,183.5,45.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 15:30:00,running,12.47,2.29,53.7,162.1,47.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 16:00:00,running,13.16,2.21,51.6,167.7,47.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 16:30:00,running,13.9,2.62,51.6,176.3,42.7
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 17:00:00,running,11.92,2.23,48.4,185.1,45.8
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 17:30:00,running,13.45,2.75,50.0,176.0,53.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 18:00:00,running,10.93,2.69,48.3,187.2,44.3
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 18:30:00,running,11.93,2.71,50.9,167.3,40.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 19:00:00,running,12.21,2.37,51.7,161.3,45.5
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 19:30:00,running,12.15,2.62,48.2,180.9,41.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 20:00:00,running,13.08,2.61,51.1,195.8,40.9
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 20:30:00,running,12.51,2.22,51.0,187.7,56.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 21:00:00,running,12.95,2.67,52.3,189.8,44.1
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 21:30:00,running,11.76,2.73,48.5,172.7,45.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 22:00:00,running,12.69,3.19,46.3,155.8,43.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 22:30:00,running,10.92,2.83,50.1,169.3,47.0
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 23:00:00,running,12.05,2.28,50.4,170.2,51.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-01 23:30:00,running,12.19,2.69,45.9,170.1,47.6
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 00:00:00,running,12.5,2.26,49.8,193.0,41.4
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 00:30:00,running,11.35,2.4,49.1,206.5,46.2
PUMP_BLD_001_01,BLD_001,TANK_BLD_001_01,2025-10-02 01:00:00,running,14.12,2.12,51.8,195.5,40.4
